source_id,source_name,level,domain,update_frequency,owner,url,available_fields,last_checked,status,notes,account_fit,account_priority
SRC-001,国家统计局,A,macro,monthly,data-editor,https://www.stats.gov.cn/sj/,人口/就业/消费/产业,2026-02-12,active,官方基础库,ACC-A|ACC-B|ACC-C|ACC-F,H
SRC-002,中国政府数据开放平台,A,gov,weekly,data-editor,https://www.gov.cn/fuwu/shuju/,政务公开/公共服务,2026-02-12,active,政务数据入口,ACC-B|ACC-C|ACC-G,M
SRC-003,中国人民银行,A,finance,monthly,data-editor,http://www.pbc.gov.cn/,货币/利率/社融,2026-02-12,active,金融宏观,ACC-A|ACC-F,H
SRC-004,国家卫健委,A,health,weekly,data-editor,http://www.nhc.gov.cn/,健康/医疗统计,2026-02-12,active,卫生系统数据,ACC-G,H
SRC-005,生态环境部,A,environment,monthly,data-editor,https://www.mee.gov.cn/,空气/水质/排放,2026-02-12,active,环境主题,ACC-G|ACC-B,M
SRC-006,教育部,A,education,quarterly,data-editor,http://www.moe.gov.cn/,教育规模/院校数据,2026-02-12,active,教育主题,ACC-G|ACC-C,L
SRC-007,海关总署,A,trade,monthly,data-editor,http://www.customs.gov.cn/,进出口/贸易结构,2026-02-12,active,外贸主题,ACC-A|ACC-C,M
SRC-008,国家能源局,A,energy,monthly,data-editor,http://www.nea.gov.cn/,发电/用电/能源结构,2026-02-12,active,能源主题,ACC-A|ACC-G,L
SRC-009,Data.gov (US),A,gov,weekly,data-editor,https://data.gov/,联邦公开数据,2026-02-12,active,国际对比,ACC-A|ACC-B,M
SRC-010,Eurostat,A,macro,monthly,data-editor,https://ec.europa.eu/eurostat/data/database,欧盟统计指标,2026-02-12,active,国际对比,ACC-B|ACC-A,H
SRC-011,ONS (UK),A,macro,monthly,data-editor,https://www.ons.gov.uk/datasets,英国统计指标,2026-02-12,active,国际对比,ACC-A|ACC-B,M
SRC-012,World Bank Data,A,macro,monthly,data-editor,https://data.worldbank.org/,全球宏观指标,2026-02-12,active,跨国比较,ACC-A|ACC-B,H
SRC-013,UN Data,A,macro,monthly,data-editor,https://data.un.org/,联合国统计,2026-02-12,active,跨国比较,ACC-A|ACC-G,M
SRC-014,WHO Data,A,health,weekly,data-editor,https://www.who.int/data,公共卫生,2026-02-12,active,健康议题,ACC-G,H
SRC-015,OECD Data,A,macro,monthly,data-editor,https://data.oecd.org/,经合组织指标,2026-02-12,active,发达经济体对比,ACC-A|ACC-F,H
SRC-016,IMF Data,A,macro,monthly,data-editor,https://www.imf.org/en/Data,金融与宏观,2026-02-12,active,宏观金融,ACC-F|ACC-A,H
SRC-017,Our World in Data,B,research,weekly,data-editor,https://ourworldindata.org/data,专题整合数据,2026-02-12,active,需回溯原始来源,ACC-A|ACC-E|ACC-G,M
SRC-018,ProPublica Data Store,B,investigation,monthly,data-editor,https://www.propublica.org/datastore/,调查数据集,2026-02-12,active,调查参考,ACC-A|ACC-C,L
SRC-019,NYT Data GitHub,B,news,weekly,data-editor,https://github.com/nytimes,新闻公开数据,2026-02-12,active,方法参考,ACC-A|ACC-D,L
SRC-020,Kaggle Datasets,B,community,daily,data-producer,https://www.kaggle.com/datasets,多领域公开数据,2026-02-12,active,需二次验证,ACC-D|ACC-E,L
SRC-021,GitHub Open Data Repos,B,community,daily,data-producer,https://github.com/topics/open-data,开放数据仓库,2026-02-12,active,需二次验证,ACC-D|ACC-E,L
SRC-022,国家企业信用信息公示系统,A,business,weekly,data-editor,https://www.gsxt.gov.cn/,企业登记与变更,2026-02-12,active,企业主题,ACC-C|ACC-D,H
SRC-023,中国裁判文书网,B,legal,weekly,data-editor,https://wenshu.court.gov.cn/,司法公开文书,2026-02-12,active,法律合规审慎,ACC-C|ACC-G,L
SRC-024,中国知网统计年鉴,B,research,monthly,data-editor,https://data.cnki.net/,年鉴与专题数据,2026-02-12,active,需授权合规,ACC-A|ACC-C,L
SRC-025,QuestMobile 报告,B,industry,monthly,analyst,https://www.questmobile.com.cn/,移动互联网指标,2026-02-12,active,报告口径需注明,ACC-C|ACC-E,H
SRC-026,艾媒咨询,B,industry,monthly,analyst,https://www.iimedia.cn/,行业研究数据,2026-02-12,active,报告口径需注明,ACC-E|ACC-D,H
SRC-027,Wind/同花顺iFinD,B,finance,daily,analyst,https://www.wind.com.cn/,金融市场数据,2026-02-12,active,需许可,ACC-F|ACC-A,H
SRC-028,Google Trends,B,search,daily,data-producer,https://trends.google.com/,搜索热度,2026-02-12,active,指数非绝对量,ACC-D|ACC-E,H
SRC-029,小红书公开话题页采集,C,social,daily,data-producer,https://www.xiaohongshu.com/,话题热度/内容样本,2026-02-12,active,必须合规采集,ACC-D|ACC-G,M
SRC-030,微博热搜公开页采集,C,social,hourly,data-producer,https://s.weibo.com/top/summary,热词榜单,2026-02-12,active,仅作线索,ACC-D|ACC-G,L
SRC-031,B站公开榜单采集,C,video,daily,data-producer,https://www.bilibili.com/ranking,视频榜单,2026-02-12,active,仅作线索,ACC-D|ACC-E,L
SRC-032,电商平台公开榜单采集,C,commerce,daily,data-producer,https://www.taobao.com/,类目趋势线索,2026-02-12,active,仅作线索,ACC-D|ACC-F,L
