row_id,special_category_id,special_category_name,special_category_desc,mece_topic_id,mece_topic_name,mapped_columns,mapped_column_count,all_15_columns_covered,notes
R001,SP01,风往哪吹,事实与趋势洞察,SP01-T1,刚发生,趋势暗房|新闻后半场|一图定胜负,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R002,SP01,风往哪吹,事实与趋势洞察,SP01-T2,在变化,趋势暗房|新闻后半场|一图定胜负,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R003,SP01,风往哪吹,事实与趋势洞察,SP01-T3,会影响谁,趋势暗房|新闻后半场|一图定胜负,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R004,SP01,风往哪吹,事实与趋势洞察,SP01-T4,下一步,趋势暗房|新闻后半场|一图定胜负,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R005,SP02,别被带节奏,认知纠偏与判断,SP02-T1,常见误判,真相弯道超车|偏见粉碎机|反转证据链,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R006,SP02,别被带节奏,认知纠偏与判断,SP02-T2,证据打脸,真相弯道超车|偏见粉碎机|反转证据链,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R007,SP02,别被带节奏,认知纠偏与判断,SP02-T3,判断框架,真相弯道超车|偏见粉碎机|反转证据链,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R008,SP02,别被带节奏,认知纠偏与判断,SP02-T4,边界条件,真相弯道超车|偏见粉碎机|反转证据链,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R009,SP03,照着做不踩坑,决策与行动方法,SP03-T1,先诊断,决策止损线|模板武器库|变量斗兽场,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R010,SP03,照着做不踩坑,决策与行动方法,SP03-T2,再决策,决策止损线|模板武器库|变量斗兽场,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R011,SP03,照着做不踩坑,决策与行动方法,SP03-T3,去执行,决策止损线|模板武器库|变量斗兽场,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R012,SP03,照着做不踩坑,决策与行动方法,SP03-T4,做复盘,决策止损线|模板武器库|变量斗兽场,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R013,SP04,把话说明白,内容表达与传播,SP04-T1,怎么讲,叙事折叠术|图表炼金室|数据有梗局,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R014,SP04,把话说明白,内容表达与传播,SP04-T2,怎么画,叙事折叠术|图表炼金室|数据有梗局,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R015,SP04,把话说明白,内容表达与传播,SP04-T3,怎么传,叙事折叠术|图表炼金室|数据有梗局,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R016,SP04,把话说明白,内容表达与传播,SP04-T4,怎么改,叙事折叠术|图表炼金室|数据有梗局,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R017,SP05,你我都遇到过,案例与人群共鸣,SP05-T1,真实场景,爆款解剖台|信息增量仓|数据人间观察,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R018,SP05,你我都遇到过,案例与人群共鸣,SP05-T2,人群差异,爆款解剖台|信息增量仓|数据人间观察,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R019,SP05,你我都遇到过,案例与人群共鸣,SP05-T3,成败对照,爆款解剖台|信息增量仓|数据人间观察,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
R020,SP05,你我都遇到过,案例与人群共鸣,SP05-T4,可抄作业,爆款解剖台|信息增量仓|数据人间观察,3,yes,5大专题类x每类4话题；15栏目按3栏/类均匀映射
