id,bucket,domain,l1_topic,l2_issue,l3_topic,mece_axis,topic_type,timeliness_window,source_basis,notes
T0001,evergreen,跨域,资源分配与不平等,财富与机会分布,贫富差距、教育机会、地区鸿沟,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0002,evergreen,跨域,技术替代与就业重构,效率提升与岗位迁移,AI替代、职业再培训、新工种,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0003,evergreen,跨域,代际关系与家庭结构,婚育、养老与代际支持,晚婚少育、照护成本、代际冲突,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0004,evergreen,跨域,城市化与居住成本,人口流动与住房压力,房价租金、通勤、城市群分化,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0005,evergreen,跨域,教育公平与社会流动,起点差异与上升通道,升学机会、职业教育、阶层流动,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0006,evergreen,跨域,健康焦虑与生命质量,身体与心理双重健康,慢病管理、心理韧性、健康消费,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0007,evergreen,跨域,身份认同与群体冲突,价值观与归属边界,性别议题、代际价值、圈层对立,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0008,evergreen,跨域,风险治理与公共信任,系统性风险与责任边界,监管回应、舆论信任、危机沟通,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0009,evergreen,跨域,增长与可持续平衡,短期收益与长期约束,碳中和、资源约束、绿色转型,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0010,evergreen,跨域,个体意义与幸福追寻,成功叙事与生活满足,职业意义、关系质量、幸福感,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
